бо19.6,бо19.7,,,
24.59 ,24.62 ,,,
17.84 ,18.00 ,,,
25.09 ,25.12 ,,,
20.72 ,20.86 ,,,
20.54 ,20.56 ,,,
20.02 ,20.34 ,,,
22.55 ,22.77 ,,,
16.12 ,16.29 ,,,
25.08 ,25.40 ,,,
18.83 ,18.91 ,,,
22.02 ,22.06 ,,,
19.39 ,19.44 ,,,
24.93 ,24.92 ,,,
21.55 ,21.52 ,,,
21.35 ,21.35 ,,,
20.85 ,20.96 ,,,
25.99 ,25.91 ,,,
18.40 ,18.40 ,,,
20.95 ,21.05 ,,,
19.42 ,19.40 ,,,
14.57 ,14.69 ,,,
16.32 ,16.28 ,,,
17.80 ,18.05 ,,,
19.36 ,19.64 ,,,
21.68 ,21.64 ,,,
26.05 ,25.96 ,,,
23.45 ,23.45 ,,,
16.41 ,16.47 ,,,
23.73 ,23.67 ,,,
19.65 ,19.68 ,,,
17.52 ,17.55 ,,,
17.76 ,17.97 ,,,
21.75 ,21.86 ,,,
21.83 ,21.97 ,,,
19.60 ,19.71 ,,,
15.70 ,15.68 ,,,
11.83 ,11.92 ,,,
14.59 ,15.84 ,,,
20.76 ,20.74 ,,,
19.64 ,19.57 ,,,
24.03 ,24.10 ,,,
19.37 ,19.41 ,,,
20.88 ,21.00 ,,,
33.11 ,33.17 ,,,
29.66 ,29.68 ,,,
21.89 ,21.91 ,,,
19.21 ,19.48 ,,,
21.41 ,21.69 ,,,
22.31 ,22.69 ,,,
24.47 ,24.48 ,,,
23.15 ,23.32 ,,,
24.59 ,24.67 ,,,
16.02 ,16.56 ,,,
19.74 ,19.70 ,,,
18.91 ,19.12 ,,,
26.84 ,26.70 ,,,
20.16 ,20.31 ,,,
22.40 ,22.34 ,,,
18.31 ,18.31 ,,,
24.00 ,23.89 ,,,
20.62 ,20.60 ,,,
26.30 ,26.34 ,,,
18.62 ,18.48 ,,,
18.90 ,18.93 ,,,
24.81 ,24.68 ,,,
19.27 ,19.26 ,,,
16.42 ,16.62 ,,,
15.62 ,16.08 ,,,
17.56 ,17.61 ,,,
13.46 ,13.49 ,,,
20.02 ,19.94 ,,,
15.31 ,15.40 ,,,
21.26 ,21.27 ,,,
22.42 ,22.39 ,,,
21.36 ,21.26 ,,,
19.61 ,19.59 ,,,
17.92 ,17.86 ,,,
22.88 ,22.93 ,,,
22.16 ,22.32 ,,,
21.87 ,22.00 ,,,
18.02 ,18.13 ,,,
19.66 ,19.52 ,,,
15.70 ,15.53 ,,,
16.77 ,16.84 ,,,
21.36 ,21.28 ,,,
19.26 ,19.20 ,,,
17.12 ,17.17 ,,,
14.00 ,13.99 ,,,
20.71 ,20.76 ,,,
19.63 ,19.60 ,,,
18.94 ,19.06 ,,,
17.25 ,17.33 ,,,
20.48 ,20.81 ,,,
20.23 ,20.51 ,,,
17.82 ,17.85 ,,,
19.33 ,19.34 ,,,
30.32 ,30.43 ,,,
20.71 ,20.72 ,,,
22.59 ,22.49 ,,,
18.04 ,17.96 ,,,
16.40 ,16.50 ,,,
5.13 ,4.58 ,,,
